ts,series_id,value
2025-05-06T04:15:00+05:30,demand_mw,3594.83
2025-05-06T04:30:00+05:30,demand_mw,3584.98
2025-05-06T04:45:00+05:30,demand_mw,3592.88
2025-05-06T05:00:00+05:30,demand_mw,3606.3
2025-05-06T05:15:00+05:30,demand_mw,3613.11
2025-05-06T05:30:00+05:30,demand_mw,3608.58
2025-05-06T05:45:00+05:30,demand_mw,3619.12
2025-05-06T06:00:00+05:30,demand_mw,3623.29
2025-05-06T06:15:00+05:30,demand_mw,3650.64
2025-05-06T06:30:00+05:30,demand_mw,3646.86
2025-05-06T06:45:00+05:30,demand_mw,3622.32
2025-05-06T07:00:00+05:30,demand_mw,3577.76
2025-05-06T07:15:00+05:30,demand_mw,3534.56
2025-05-06T07:30:00+05:30,demand_mw,3486.68
2025-05-06T07:45:00+05:30,demand_mw,3450.3
2025-05-06T08:00:00+05:30,demand_mw,3418.7
2025-05-06T08:15:00+05:30,demand_mw,3414.5
2025-05-06T08:30:00+05:30,demand_mw,3406.56
2025-05-06T08:45:00+05:30,demand_mw,3464.58
2025-05-06T09:00:00+05:30,demand_mw,3474.49
2025-05-06T09:15:00+05:30,demand_mw,3515.22
2025-05-06T09:30:00+05:30,demand_mw,3573.73
2025-05-06T09:45:00+05:30,demand_mw,3625.79
2025-05-06T10:00:00+05:30,demand_mw,3621.17
2025-05-06T10:15:00+05:30,demand_mw,3630.63
2025-05-06T10:30:00+05:30,demand_mw,3620.64
2025-05-06T10:45:00+05:30,demand_mw,3647.17
2025-05-06T11:00:00+05:30,demand_mw,3653.03
2025-05-06T11:15:00+05:30,demand_mw,3651.69
2025-05-06T11:30:00+05:30,demand_mw,3669.48
2025-05-06T11:45:00+05:30,demand_mw,3709.52
2025-05-06T12:00:00+05:30,demand_mw,3708.51
2025-05-06T12:15:00+05:30,demand_mw,3734.04
2025-05-06T12:30:00+05:30,demand_mw,3753.64
2025-05-06T12:45:00+05:30,demand_mw,3782.2
2025-05-06T13:00:00+05:30,demand_mw,3771.08
2025-05-06T13:15:00+05:30,demand_mw,3770.41
2025-05-06T13:30:00+05:30,demand_mw,3780.22
2025-05-06T13:45:00+05:30,demand_mw,3839.72
2025-05-06T14:00:00+05:30,demand_mw,3933.04
2025-05-06T14:15:00+05:30,demand_mw,4052.58
2025-05-06T14:30:00+05:30,demand_mw,4148.78
2025-05-06T14:45:00+05:30,demand_mw,4214.12
2025-05-06T15:00:00+05:30,demand_mw,4264.19
2025-05-06T15:15:00+05:30,demand_mw,4318.21
2025-05-06T15:30:00+05:30,demand_mw,4350.1
2025-05-06T15:45:00+05:30,demand_mw,4390.05
2025-05-06T16:00:00+05:30,demand_mw,4365.25
2025-05-06T16:15:00+05:30,demand_mw,4353.18
2025-05-06T16:30:00+05:30,demand_mw,4355.26
2025-05-06T16:45:00+05:30,demand_mw,4340.4
2025-05-06T17:00:00+05:30,demand_mw,4277.08
2025-05-06T17:15:00+05:30,demand_mw,4247.49
2025-05-06T17:30:00+05:30,demand_mw,4216.54
2025-05-06T17:45:00+05:30,demand_mw,4215.33
2025-05-06T18:00:00+05:30,demand_mw,4178.88
2025-05-06T18:15:00+05:30,demand_mw,4219.77
2025-05-06T18:30:00+05:30,demand_mw,4369.17
2025-05-06T18:45:00+05:30,demand_mw,4581.14
2025-05-06T19:00:00+05:30,demand_mw,4738.14
2025-05-06T19:15:00+05:30,demand_mw,4795.43
2025-05-06T19:30:00+05:30,demand_mw,4792.36
2025-05-06T19:45:00+05:30,demand_mw,4789.62
2025-05-06T20:00:00+05:30,demand_mw,4773.7
2025-05-06T20:15:00+05:30,demand_mw,4742.52
2025-05-06T20:30:00+05:30,demand_mw,4738.41
2025-05-06T20:45:00+05:30,demand_mw,4756.96
2025-05-06T21:00:00+05:30,demand_mw,4759.23
2025-05-06T21:15:00+05:30,demand_mw,4798.79
2025-05-06T21:30:00+05:30,demand_mw,4855.78
2025-05-06T21:45:00+05:30,demand_mw,4908.96
2025-05-06T22:00:00+05:30,demand_mw,4987.0
