ts,value,lag_1d,lag_2d,lag_7d,block_sin,block_cos,dow,is_weekend,is_holiday,month_sin,month_cos,temperature_2m,precipitation,cloud_cover
2026-06-17 11:00:00,3027.58,3091.99,3341.47,3097.97,0.19509032201612816,-0.9807852804032304,2,0,0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0
2026-06-17 11:15:00,2992.86,3146.24,3279.4,3072.79,0.130526192220052,-0.9914448613738104,2,0,0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0
2026-06-17 11:30:00,3002.0,3150.56,3265.77,3101.64,0.06540312923014312,-0.9978589232386035,2,0,0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0
2026-06-17 11:45:00,3004.4,3083.81,3316.8,3105.63,1.2246467991473532e-16,-1.0,2,0,0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0
2026-06-17 12:00:00,3006.46,3168.8,3277.62,3078.77,-0.06540312923014287,-0.9978589232386035,2,0,0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0
2026-06-17 12:15:00,3042.59,3157.12,3307.94,3130.14,-0.13052619222005177,-0.9914448613738104,2,0,0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0
2026-06-17 12:30:00,3027.06,3190.93,3339.64,3119.37,-0.19509032201612792,-0.9807852804032305,2,0,0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0
2026-06-17 12:45:00,3021.83,3143.93,3361.12,3144.68,-0.2588190451025208,-0.9659258262890683,2,0,0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0
2026-06-17 13:00:00,2987.63,3107.35,3329.48,3092.89,-0.32143946530316153,-0.9469301294951057,2,0,0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0
2026-06-17 13:15:00,3002.2,3102.81,3325.23,3108.21,-0.38268343236508967,-0.9238795325112868,2,0,0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0
2026-06-17 13:30:00,3069.42,3173.98,3386.59,3203.71,-0.44228869021900147,-0.8968727415326883,2,0,0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0
2026-06-17 13:45:00,3110.53,3232.09,3375.46,3258.84,-0.4999999999999997,-0.8660254037844388,2,0,0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0
2026-06-17 14:00:00,3219.95,3321.07,3527.22,3354.42,-0.555570233019602,-0.8314696123025455,2,0,0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0
2026-06-17 14:15:00,3299.39,3467.42,3629.21,3426.73,-0.6087614290087207,-0.7933533402912352,2,0,0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0
2026-06-17 14:30:00,3423.12,3521.39,3738.12,3449.13,-0.6593458151000688,-0.7518398074789774,2,0,0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0
2026-06-17 14:45:00,3393.06,3524.58,3778.1,3560.82,-0.7071067811865471,-0.7071067811865479,2,0,0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0
2026-06-17 15:00:00,3449.96,3601.8,3781.38,3585.26,-0.7518398074789773,-0.6593458151000691,2,0,0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0
2026-06-17 15:15:00,3521.64,3651.52,3894.14,3664.85,-0.7933533402912349,-0.6087614290087209,2,0,0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0
2026-06-17 15:30:00,3586.42,3628.16,3834.43,3630.02,-0.8314696123025452,-0.5555702330196022,2,0,0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0
2026-06-17 15:45:00,3524.25,3677.29,3920.95,3703.47,-0.8660254037844385,-0.5000000000000004,2,0,0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0
2026-06-17 16:00:00,3605.21,3628.69,3926.08,3627.4,-0.8968727415326883,-0.44228869021900136,2,0,0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0
2026-06-17 16:15:00,3558.1,3651.64,3943.35,3663.39,-0.9238795325112868,-0.3826834323650895,2,0,0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0
